,Ex-Showroom/ On-Road,Price,company,model,variant
199,Jaipur,Rs.24.67 Lakh*,mahindra,xuv700,XUV700 AX7 7Str Diesel AT
200,Patna,Rs.24.37 Lakh*,mahindra,xuv700,XUV700 AX7 7Str Diesel AT
201,Chandigarh,Rs.24.16 Lakh*,mahindra,xuv700,XUV700 AX7 7Str Diesel AT
202,Ex-Showroom Price,"Rs.11,74,900",maruti,brezza,Brezza Zxi AT
203,Bangalore,Rs.14.42 Lakh*,maruti,brezza,Brezza Zxi AT
204,Mumbai,Rs.13.82 Lakh*,maruti,brezza,Brezza Zxi AT
205,Pune,Rs.13.73 Lakh*,maruti,brezza,Brezza Zxi AT
206,Hyderabad,Rs.14.42 Lakh*,maruti,brezza,Brezza Zxi AT
207,Chennai,Rs.14.54 Lakh*,maruti,brezza,Brezza Zxi AT
208,Ahmedabad,Rs.13.08 Lakh*,maruti,brezza,Brezza Zxi AT
209,Lucknow,Rs.13.59 Lakh*,maruti,brezza,Brezza Zxi AT
210,Jaipur,Rs.13.65 Lakh*,maruti,brezza,Brezza Zxi AT
211,Patna,Rs.13.71 Lakh*,maruti,brezza,Brezza Zxi AT
212,Chandigarh,Rs.13.19 Lakh*,maruti,brezza,Brezza Zxi AT
213,Ex-Showroom Price,"Rs.19,03,300",mahindra,xuv700,XUV700 AX7 6 Str Diesel
214,Bangalore,Rs.23.49 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
215,Mumbai,Rs.22.91 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
216,Pune,Rs.22.97 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
217,Hyderabad,Rs.23.49 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
218,Chennai,Rs.23.68 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
219,Ahmedabad,Rs.21.64 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
220,Lucknow,Rs.22.13 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
221,Jaipur,Rs.22.99 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
222,Patna,Rs.22.70 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
223,Chandigarh,Rs.22.51 Lakh*,mahindra,xuv700,XUV700 AX7 6 Str Diesel
224,Ex-Showroom Price,"Rs.18,70,300",mahindra,xuv700,XUV700 AX7 Ebony Edition 6Str
