,Ex-Showroom/ On-Road,Price,company,model,variant
2617,Patna,Rs.12.31 Lakh*,TATA,NEXON,Nexon Pure Plus Diesel AMT
2618,Chandigarh,Rs.12.20 Lakh*,TATA,NEXON,Nexon Pure Plus Diesel AMT
2619,Ex-Showroom Price,"Rs.13,50,652",KIA,SONET,Sonet GTX Plus Turbo DCT
2620,Bangalore,Rs.16.49 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2621,Mumbai,Rs.15.87 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2622,Pune,Rs.15.83 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2623,Hyderabad,Rs.16.49 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2624,Chennai,Rs.16.63 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2625,Ahmedabad,Rs.15.16 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2626,Lucknow,Rs.15.53 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2627,Jaipur,Rs.15.57 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2628,Patna,Rs.15.70 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2629,Chandigarh,Rs.15.53 Lakh*,KIA,SONET,Sonet GTX Plus Turbo DCT
2630,Ex-Showroom Price,"Rs.10,70,089",MARUTI,FRONX,FRONX Alpha Turbo DT
2631,Bangalore,Rs.13.08 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2632,Mumbai,Rs.12.57 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2633,Pune,Rs.12.50 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2634,Hyderabad,Rs.13.16 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2635,Chennai,Rs.12.62 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2636,Ahmedabad,Rs.12 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2637,Lucknow,Rs.12.32 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2638,Jaipur,Rs.12.36 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2639,Patna,Rs.12.43 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2640,Chandigarh,Rs.12.18 Lakh*,MARUTI,FRONX,FRONX Alpha Turbo DT
2641,Ex-Showroom Price,"Rs.19,45,700",mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2642,Bangalore,Rs.24 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2643,Mumbai,Rs.23.42 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2644,Pune,Rs.23.48 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2645,Hyderabad,Rs.24 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2646,Chennai,Rs.24.20 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2647,Ahmedabad,Rs.22.12 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2648,Lucknow,Rs.22.62 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2649,Jaipur,Rs.23.46 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2650,Patna,Rs.23.20 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2651,Chandigarh,Rs.23.01 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str Diesel AT
2652,Ex-Showroom Price,"Rs.16,54,700",MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2653,Bangalore,Rs.20.26 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2654,Mumbai,Rs.19.34 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2655,Pune,Rs.19.28 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2656,Hyderabad,Rs.20.38 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2657,Chennai,Rs.20.17 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2658,Ahmedabad,Rs.18.28 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2659,Lucknow,Rs.19.09 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2660,Jaipur,Rs.19.32 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2661,Patna,Rs.19.58 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2662,Chandigarh,Rs.18.49 Lakh*,MARUTI,GRAND VITARA,Grand Vitara Alpha AT
2663,Ex-Showroom Price,"Rs.9,67,500",MARUTI,VITARA BREZZA,Vitara Brezza ZXI
2664,Ex-Showroom Price,"Rs.9,97,000",mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2665,Bangalore,Rs.12.11 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2666,Mumbai,Rs.11.82 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2667,Pune,Rs.11.76 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2668,Hyderabad,Rs.11.86 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2669,Chennai,Rs.11.76 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2670,Ahmedabad,Rs.11.06 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2671,Lucknow,Rs.11.25 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2672,Jaipur,Rs.11.83 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2673,Patna,Rs.11.55 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2674,Chandigarh,Rs.11.45 Lakh*,mahindra,xuv_3xo,XUV 3XO MX3 Diesel
2675,Ex-Showroom Price,"Rs.18,39,014",HYUNDAI,CRETA,Creta SX (O) Diesel
2676,Bangalore,Rs.22.50 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2677,Mumbai,Rs.22.06 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2678,Pune,Rs.22.25 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2679,Hyderabad,Rs.22.81 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2680,Chennai,Rs.22.69 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2681,Ahmedabad,Rs.20.48 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2682,Lucknow,Rs.21.20 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2683,Jaipur,Rs.22.13 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2684,Patna,Rs.21.75 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2685,Chandigarh,Rs.20.44 Lakh*,HYUNDAI,CRETA,Creta SX (O) Diesel
2686,Ex-Showroom Price,"Rs.17,28,800",mahindra,xuv700,XUV700 AX5 7 Str
2687,Bangalore,Rs.21.36 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2688,Mumbai,Rs.20.49 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2689,Pune,Rs.20.55 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2690,Hyderabad,Rs.21.36 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2691,Chennai,Rs.21.53 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2692,Ahmedabad,Rs.19.69 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2693,Lucknow,Rs.20.13 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2694,Jaipur,Rs.20.99 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2695,Patna,Rs.20.65 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2696,Chandigarh,Rs.20.48 Lakh*,mahindra,xuv700,XUV700 AX5 7 Str
2697,Ex-Showroom Price,"Rs.17,19,000",TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2698,Bangalore,Rs.21.34 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2699,Mumbai,Rs.20.18 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2700,Pune,Rs.20.18 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2701,Hyderabad,Rs.21.04 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2702,Chennai,Rs.21.22 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2703,Ahmedabad,Rs.19.15 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2704,Lucknow,Rs.19.82 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2705,Jaipur,Rs.20.06 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2706,Patna,Rs.20.34 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2707,Chandigarh,Rs.20.17 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder V AT
2708,Ex-Showroom Price,"Rs.17,41,500",HYUNDAI,CRETA,Creta King DT
2709,Bangalore,Rs.21.32 Lakh*,HYUNDAI,CRETA,Creta King DT
2710,Mumbai,Rs.20.45 Lakh*,HYUNDAI,CRETA,Creta King DT
2711,Pune,Rs.20.45 Lakh*,HYUNDAI,CRETA,Creta King DT
2712,Hyderabad,Rs.21.32 Lakh*,HYUNDAI,CRETA,Creta King DT
2713,Chennai,Rs.21.49 Lakh*,HYUNDAI,CRETA,Creta King DT
2714,Ahmedabad,Rs.19.40 Lakh*,HYUNDAI,CRETA,Creta King DT
2715,Lucknow,Rs.20.08 Lakh*,HYUNDAI,CRETA,Creta King DT
2716,Jaipur,Rs.20.32 Lakh*,HYUNDAI,CRETA,Creta King DT
2717,Patna,Rs.20.60 Lakh*,HYUNDAI,CRETA,Creta King DT
2718,Chandigarh,Rs.19.01 Lakh*,HYUNDAI,CRETA,Creta King DT
2719,Ex-Showroom Price,"Rs.8,89,900",HYUNDAI,VENUE,Venue HX 2 Turbo
2720,Bangalore,Rs.10.54 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2721,Mumbai,Rs.10.27 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2722,Pune,Rs.10.27 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2723,Hyderabad,Rs.10.54 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2724,Chennai,Rs.10.45 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2725,Ahmedabad,Rs.9.82 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2726,Lucknow,Rs.9.99 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2727,Jaipur,Rs.10.21 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2728,Patna,Rs.10.26 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2729,Chandigarh,Rs.10.17 Lakh*,HYUNDAI,VENUE,Venue HX 2 Turbo
2730,Ex-Showroom Price,"Rs.10,12,500",MARUTI,VITARA BREZZA,Vitara Brezza VXI AT
2731,Ex-Showroom Price,"Rs.14,13,000",mahindra,xuv700,XUV700 MX 7Str Diesel
2732,Bangalore,Rs.17.51 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2733,Mumbai,Rs.17.09 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2734,Pune,Rs.17.15 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2735,Hyderabad,Rs.17.51 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2736,Chennai,Rs.17.65 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2737,Ahmedabad,Rs.16.16 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2738,Lucknow,Rs.16.51 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2739,Jaipur,Rs.17.72 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2740,Patna,Rs.16.65 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2741,Chandigarh,Rs.16.51 Lakh*,mahindra,xuv700,XUV700 MX 7Str Diesel
2742,Ex-Showroom Price,"Rs.15,84,000",HYUNDAI,CRETA,Creta SX Tech DT
2743,Bangalore,Rs.19.40 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2744,Mumbai,Rs.18.61 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2745,Pune,Rs.18.61 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2746,Hyderabad,Rs.19.40 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2747,Chennai,Rs.19.56 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2748,Ahmedabad,Rs.17.66 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2749,Lucknow,Rs.18.28 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2750,Jaipur,Rs.18.50 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2751,Patna,Rs.18.75 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2752,Chandigarh,Rs.17.63 Lakh*,HYUNDAI,CRETA,Creta SX Tech DT
2753,Ex-Showroom Price,"Rs.14,60,100",mahindra,xuv700,XUV700 MX E 7Str Diesel
2754,Bangalore,Rs.18.08 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2755,Mumbai,Rs.17.65 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2756,Pune,Rs.17.65 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2757,Hyderabad,Rs.18.08 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2758,Chennai,Rs.18.23 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2759,Ahmedabad,Rs.16.48 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2760,Lucknow,Rs.17.05 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2761,Jaipur,Rs.17.63 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2762,Patna,Rs.17.19 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2763,Chandigarh,Rs.17.05 Lakh*,mahindra,xuv700,XUV700 MX E 7Str Diesel
2764,Ex-Showroom Price,"Rs.13,26,490",TATA,NEXON,Nexon Fearless Plus PS DT DCA
2765,Bangalore,Rs.16.63 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2766,Mumbai,Rs.15.61 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2767,Pune,Rs.15.82 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2768,Hyderabad,Rs.16.38 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2769,Chennai,Rs.16.40 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2770,Ahmedabad,Rs.14.81 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2771,Lucknow,Rs.15.33 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2772,Jaipur,Rs.15.37 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2773,Patna,Rs.15.46 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2774,Chandigarh,Rs.15.33 Lakh*,TATA,NEXON,Nexon Fearless Plus PS DT DCA
2775,Ex-Showroom Price,"Rs.15,70,698",HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2776,Bangalore,Rs.19.24 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2777,Mumbai,Rs.18.55 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2778,Pune,Rs.18.72 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2779,Hyderabad,Rs.19.51 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2780,Chennai,Rs.19.40 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2781,Ahmedabad,Rs.17.51 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2782,Lucknow,Rs.18.12 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2783,Jaipur,Rs.18.57 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2784,Patna,Rs.18.60 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2785,Chandigarh,Rs.18.44 Lakh*,HYUNDAI,CRETA,Creta S (O) Knight iVT DT
2786,Ex-Showroom Price,"Rs.7,84,000",MARUTI,VITARA BREZZA,Vitara Brezza LXI
2787,Ex-Showroom Price,"Rs.11,52,300",MARUTI,XL6,XL6 Zeta
2788,Bangalore,Rs.14.15 Lakh*,MARUTI,XL6,XL6 Zeta
2789,Mumbai,Rs.13.53 Lakh*,MARUTI,XL6,XL6 Zeta
2790,Pune,Rs.13.47 Lakh*,MARUTI,XL6,XL6 Zeta
2791,Hyderabad,Rs.14.17 Lakh*,MARUTI,XL6,XL6 Zeta
2792,Chennai,Rs.14.15 Lakh*,MARUTI,XL6,XL6 Zeta
2793,Ahmedabad,Rs.12.80 Lakh*,MARUTI,XL6,XL6 Zeta
2794,Lucknow,Rs.13.33 Lakh*,MARUTI,XL6,XL6 Zeta
2795,Jaipur,Rs.13.50 Lakh*,MARUTI,XL6,XL6 Zeta
2796,Patna,Rs.13.45 Lakh*,MARUTI,XL6,XL6 Zeta
2797,Chandigarh,Rs.12.94 Lakh*,MARUTI,XL6,XL6 Zeta
2798,Ex-Showroom Price,"Rs.13,49,000",HYUNDAI,CRETA,Creta EX Diesel
2799,Bangalore,Rs.16.54 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2800,Mumbai,Rs.16.14 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2801,Pune,Rs.16.14 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2802,Hyderabad,Rs.16.54 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2803,Chennai,Rs.16.68 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2804,Ahmedabad,Rs.15.06 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2805,Lucknow,Rs.15.58 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2806,Jaipur,Rs.16.08 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2807,Patna,Rs.15.72 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2808,Chandigarh,Rs.15.41 Lakh*,HYUNDAI,CRETA,Creta EX Diesel
2809,Ex-Showroom Price,"Rs.15,34,000",TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2810,Bangalore,Rs.19.07 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2811,Mumbai,Rs.17.92 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2812,Pune,Rs.17.92 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2813,Hyderabad,Rs.18.79 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2814,Chennai,Rs.18.95 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2815,Ahmedabad,Rs.17.11 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2816,Lucknow,Rs.17.70 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2817,Jaipur,Rs.17.92 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2818,Patna,Rs.18.16 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2819,Chandigarh,Rs.18.01 Lakh*,TOYOTA,HYRYDER,Urban Cruiser Hyryder G CNG
2820,Ex-Showroom Price,"Rs.11,46,300",maruti,brezza,Brezza Zxi CNG DT
2821,Bangalore,Rs.14.08 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2822,Mumbai,Rs.13.16 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2823,Pune,Rs.13.25 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2824,Hyderabad,Rs.14.09 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2825,Chennai,Rs.14.19 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2826,Ahmedabad,Rs.12.75 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2827,Lucknow,Rs.13.26 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2828,Jaipur,Rs.13.32 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2829,Patna,Rs.13.38 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2830,Chandigarh,Rs.12.88 Lakh*,maruti,brezza,Brezza Zxi CNG DT
2831,Ex-Showroom Price,"Rs.7,77,500",HYUNDAI,EXTER,Exter S AMT
2832,Bangalore,Rs.9.28 Lakh*,HYUNDAI,EXTER,Exter S AMT
2833,Mumbai,Rs.9.04 Lakh*,HYUNDAI,EXTER,Exter S AMT
2834,Pune,Rs.9.04 Lakh*,HYUNDAI,EXTER,Exter S AMT
2835,Hyderabad,Rs.9.28 Lakh*,HYUNDAI,EXTER,Exter S AMT
2836,Chennai,Rs.9.20 Lakh*,HYUNDAI,EXTER,Exter S AMT
2837,Ahmedabad,Rs.8.66 Lakh*,HYUNDAI,EXTER,Exter S AMT
2838,Lucknow,Rs.8.80 Lakh*,HYUNDAI,EXTER,Exter S AMT
2839,Jaipur,Rs.8.99 Lakh*,HYUNDAI,EXTER,Exter S AMT
2840,Patna,Rs.8.96 Lakh*,HYUNDAI,EXTER,Exter S AMT
2841,Chandigarh,Rs.8.78 Lakh*,HYUNDAI,EXTER,Exter S AMT
2842,Ex-Showroom Price,"Rs.8,54,500",MARUTI,FRONX,FRONX Delta Plus AMT
2843,Bangalore,Rs.10.18 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2844,Mumbai,Rs.9.91 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2845,Pune,Rs.9.84 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2846,Hyderabad,Rs.10.16 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2847,Chennai,Rs.10.08 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2848,Ahmedabad,Rs.9.57 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2849,Lucknow,Rs.9.66 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2850,Jaipur,Rs.9.87 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2851,Patna,Rs.9.92 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2852,Chandigarh,Rs.9.68 Lakh*,MARUTI,FRONX,FRONX Delta Plus AMT
2853,Ex-Showroom Price,"Rs.19,59,000",KIA,SELTOS,Seltos HTX A Diesel AT
2854,Bangalore,Rs.24.24 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2855,Mumbai,Rs.23.38 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2856,Pune,Rs.23.38 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2857,Hyderabad,Rs.23.96 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2858,Chennai,Rs.24.16 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2859,Ahmedabad,Rs.21.81 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2860,Lucknow,Rs.22.57 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2861,Jaipur,Rs.23.28 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2862,Patna,Rs.23.16 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2863,Chandigarh,Rs.22.96 Lakh*,KIA,SELTOS,Seltos HTX A Diesel AT
2864,Ex-Showroom Price,"Rs.12,59,000",KIA,SELTOS,Seltos HTE Diesel
2865,Bangalore,Rs.15.64 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2866,Mumbai,Rs.15.04 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2867,Pune,Rs.15.07 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2868,Hyderabad,Rs.15.45 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2869,Chennai,Rs.15.57 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2870,Ahmedabad,Rs.14.06 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2871,Lucknow,Rs.14.55 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2872,Jaipur,Rs.15.02 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2873,Patna,Rs.14.68 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2874,Chandigarh,Rs.14.55 Lakh*,KIA,SELTOS,Seltos HTE Diesel
2875,Ex-Showroom Price,"Rs.8,04,688",MARUTI,FRONX,FRONX Delta Plus Opt
2876,Bangalore,Rs.9.60 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2877,Mumbai,Rs.9.36 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2878,Pune,Rs.9.36 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2879,Hyderabad,Rs.9.60 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2880,Chennai,Rs.9.52 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2881,Ahmedabad,Rs.8.95 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2882,Lucknow,Rs.9.11 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2883,Jaipur,Rs.9.30 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2884,Patna,Rs.9.35 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2885,Chandigarh,Rs.9.27 Lakh*,MARUTI,FRONX,FRONX Delta Plus Opt
2886,Ex-Showroom Price,"Rs.12,07,800",HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2887,Bangalore,Rs.14.75 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2888,Mumbai,Rs.14.15 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2889,Pune,Rs.14.15 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2890,Hyderabad,Rs.14.75 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2891,Chennai,Rs.14.88 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2892,Ahmedabad,Rs.13.43 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2893,Lucknow,Rs.13.90 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2894,Jaipur,Rs.13.94 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2895,Patna,Rs.14.02 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2896,Chandigarh,Rs.13.90 Lakh*,HYUNDAI,VENUE,Venue HX 6 Turbo DCT
2897,Ex-Showroom Price,"Rs.19,76,300",TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone
2898,Bangalore,Rs.24.50 Lakh*,TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone
2899,Mumbai,Rs.23.19 Lakh*,TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone
2900,Pune,Rs.23.19 Lakh*,TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone
2901,Hyderabad,Rs.25.11 Lakh*,TOYOTA,HYRYDER,Hyryder V HYBRID Dual Tone
